Track,Race#,Distance,Box,Dog Name,HistoricalPaceAvg,NumPaces,MostRecentPace,Best3RacePace,Last5PaceValues,RecentWins,RecentRaces,WinRate%,Last5Results,StartingPrice,PaceScore(0-1),FormScore(0-1),WeightedScore(0-1)
Bulli,7,340,3,WOOLGOOLGA LASS,-7.8746,5.0,-11.4283,-2.4614,-11.43|-7.4|-2.46|-6.39|-11.69,0,5,0.0,77423,4.2,0.5863,0.0,0.4104
Mandurah,4,300,8,INCREDIBLE LUCKY,-8.0451,5.0,-4.7944,-4.7944,-4.79|-6.43|-6.55|-10.54|-11.9,0,5,0.0,52334,4.8,0.5821,0.0,0.4074
Bulli,9,340,2,CHEEKY CHEESE,-8.152,5.0,-5.6665,-5.6665,-5.67|-9.14|-11.63|-7.2|-7.13,0,5,0.0,23476,4.8,0.5794,0.0,0.4056
Bulli,4,400,2,MY PICASSO,-11.9097,5.0,-8.7682,-6.8305,-8.77|-6.83|-15.32|-22.91|-5.72,1,5,20.0,4377W,2.06,0.4854,0.2,0.3998
Bulli,4,400,6,CRAZED,-8.5252,5.0,-11.2705,-8.4297,-11.27|-9.72|-8.43|-13.48|0.27,0,5,0.0,44773,4.0,0.5701,0.0,0.399
Gosford,10,388,6,CANYA RAPID FIRE,-12.1511,5.0,-11.1145,-6.4013,-11.11|-16.52|-6.4|-14.38|-12.34,1,5,20.0,58W44,4.8,0.4794,0.2,0.3956
Bulli,6,472,1,HARD STYLE GIRL,-8.7196,5.0,-6.5563,-6.5563,-6.56|-6.86|-18.39|-3.72|-8.08,0,5,0.0,44632,4.2,0.5652,0.0,0.3956
Gosford,12,388,3,COBBLESTONE ROAD,-12.2609,5.0,-5.632,-5.632,-5.63|-13.37|-9.36|-11.73|-21.21,1,5,20.0,W4358,4.0,0.4766,0.2,0.3936
Warragul,3,400,2,ASTON FONTAINE,-8.85,5.0,-8.0079,-4.4321,-8.01|-4.98|-4.43|-21.0|-5.84,0,5,0.0,35283,2.4,0.5619,0.0,0.3934
Mandurah,5,400,3,NEON FURY,-12.4062,5.0,-10.0899,-8.5788,-10.09|-8.58|-11.55|-22.69|-9.12,1,5,20.0,34W22,4.8,0.473,0.2,0.3911
Gosford,3,388,3,ELECTRIC ASSENT,-8.9896,5.0,-0.686,-0.686,-0.69|-12.14|-5.96|-18.16|-8.01,0,5,0.0,22355,4.4,0.5584,0.0,0.3909
Q1 Lakeside,14,457,3,CANYA ATOMIC,-9.0188,5.0,-9.5363,-9.5363,-9.54|-10.44|-11.81|-3.16|-10.15,0,5,0.0,32322,1.58,0.5577,0.0,0.3904
Gosford,5,515,7,TARAWI BRUMBY,-9.0346,5.0,-6.2741,-6.2741,-6.27|-9.39|-11.02|-10.06|-8.43,0,5,0.0,22426,4.5,0.5573,0.0,0.3901
Bulli,7,340,7,SLEEK APOLLO,-9.1095,5.0,-10.2971,-0.2903,-10.3|-0.29|-4.87|-17.01|-13.07,0,5,0.0,27724,3.7,0.5554,0.0,0.3888
Gosford,10,388,7,RUBY BLINDER,-12.5942,5.0,-8.5047,-8.5047,-8.5|-18.57|-8.61|-10.78|-16.5,1,5,20.0,W7445,3.1,0.4683,0.2,0.3878
Angle Park,10,342,5,CABINTEELY,-12.6064,5.0,-14.4093,-9.368,-14.41|-15.69|-9.37|-14.21|-9.36,1,5,20.0,66W33,2.76,0.468,0.2,0.3876
Warragul,7,460,6,DAINTREE SNIPER,-9.2395,5.0,-0.4835,-0.4835,-0.48|-13.22|-6.75|-14.16|-11.59,0,5,0.0,34562,3.5,0.5522,0.0,0.3865
Angle Park,6,342,8,OUR BELLA ROSE,-12.7231,5.0,-11.7041,-11.7041,-11.7|-11.8|-17.29|-12.82|-10.01,1,5,20.0,4W552,4.9,0.4651,0.2,0.3856
Gosford,7,515,2,HE'S BON'S BOY,-9.4514,5.0,-7.2172,-7.2172,-7.22|-11.86|-8.9|-11.49|-7.8,0,5,0.0,25575,3.9,0.5469,0.0,0.3828
Gosford,12,388,4,JILLIBY SCOTTY,-9.4654,5.0,-7.7716,-7.7716,-7.77|-12.37|-9.76|-5.51|-11.91,0,5,0.0,23863,2.66,0.5465,0.0,0.3826
Warragul,8,460,6,MIGHTY HEIGHTY,-13.0828,5.0,-10.4618,-10.4618,-10.46|-16.13|-15.61|-16.06|-7.16,1,5,20.0,345W3,2.64,0.4561,0.2,0.3793
Q1 Lakeside,14,457,6,RUN WITH FRANK,-13.0929,5.0,-19.1398,-8.1285,-19.14|-20.82|-8.13|-14.46|-2.92,1,5,20.0,44W22,4.9,0.4558,0.2,0.3791
Warragul,7,460,7,LAUNCH MODE,-13.1032,5.0,-6.8067,-3.3672,-6.81|-14.25|-3.37|-35.4|-5.69,1,5,20.0,35W75,4.4,0.4556,0.2,0.3789
Angle Park,9,342,8,OUZO AND COKE,-13.1333,5.0,-13.8378,-6.4979,-13.84|-6.5|-16.62|-17.92|-10.79,1,5,20.0,5W543,3.3,0.4548,0.2,0.3784
Warragul,11,400,7,CATCH A CUTIE,-13.1512,5.0,-14.6875,-13.293,-14.69|-15.11|-13.29|-13.47|-9.2,1,5,20.0,355W8,3.8,0.4544,0.2,0.3781
Gosford,7,515,1,FAWN RUPEE,-9.883,5.0,-14.9884,-7.8118,-14.99|-7.81|-18.23|-5.52|-2.86,0,5,0.0,83734,4.2,0.5361,0.0,0.3753
Warragul,5,460,2,MIA NEO,-10.0583,5.0,-9.2344,-9.1715,-9.23|-15.22|-9.17|-9.9|-6.77,0,5,0.0,66764,4.8,0.5317,0.0,0.3722
Gosford,9,388,1,IKIGAI,-10.2471,5.0,-12.4562,-9.864,-12.46|-9.86|-13.56|-6.25|-9.1,0,5,0.0,62547,2.16,0.527,0.0,0.3689
Bulli,9,340,6,JET'S DIGGER,-10.2802,5.0,-13.8522,-8.2021,-13.85|-10.1|-8.2|-11.41|-7.83,0,5,0.0,73655,2.96,0.5262,0.0,0.3683
Angle Park,5,342,1,TENACIOUS DESIGN,-13.733,5.0,-12.1235,-5.4979,-12.12|-5.5|-16.05|-14.15|-20.85,1,5,20.0,6W237,2.36,0.4398,0.2,0.3679
Gosford,4,603,2,BLAZING PRINCE,-13.8072,5.0,-9.9884,-9.9884,-9.99|-11.81|-16.68|-14.99|-15.57,1,5,20.0,5W837,3.5,0.438,0.2,0.3666
Gosford,2,388,1,MAGIC WYLDE,-10.4106,5.0,-14.087,-7.8006,-14.09|-8.77|-7.8|-12.16|-9.23,0,5,0.0,72473,1.66,0.5229,0.0,0.366
