Track,Race#,Distance,Box,Dog Name,HistoricalPaceAvg,NumPaces,MostRecentPace,Best3RacePace,Last5PaceValues,RecentWins,RecentRaces,WinRate%,Last5Results,StartingPrice,PaceScore(0-1),FormScore(0-1),WeightedScore(0-1)
Bulli,2,400,8,RITZA LAW,,,,,,0,0,0.0,,2.02,,0.0,
Gosford,1,388,1,DESPICABLE THIEF,,,,,,0,4,0.0,2874,4.2,,0.0,
Gosford,1,388,3,WALTER WANTED,,,,,,0,1,0.0,3,1.5,,0.0,
Gosford,1,388,7,HOOKED ON HOPE,,,,,,0,2,0.0,26,3.1,,0.0,
Gosford,11,388,3,NATISA'S SECRET,,,,,,1,4,25.0,54W3,3.9,,0.25,
Gosford,12,388,5,FEDERAL FELIX,,,,,,1,2,50.0,W8,1.58,,0.5,
Mandurah,1,300,1,PATCH OF BLUE,,,,,,0,0,0.0,,2.42,,0.0,
Mandurah,2,400,2,TERRA FIRMA,,,,,,1,2,50.0,W2,2.32,,0.5,
Mandurah,2,400,7,MAD DASH CLINE,,,,,,1,2,50.0,5W,4.6,,0.5,
Q1 Lakeside,1,457,3,OLIVER STUBBY,,,,,,0,4,0.0,6357,1.58,,0.0,
Townsville,1,380,6,MIZUKI FLASH,,,,,,2,4,50.0,2WW5,4.9,,0.5,
Townsville,2,380,2,GOLD ALASKA,,,,,,3,3,100.0,WWW,3.45,,1.0,
Townsville,2,380,7,PICKIN' PIXIES,,,,,,1,4,25.0,W438,4.4,,0.25,
Warragul,1,460,1,DARNUM DOTTY,,,,,,0,1,0.0,6,5.0,,0.0,
Warragul,1,460,2,MARSHAL LEE ROSE,,,,,,0,1,0.0,5,3.3,,0.0,
Warragul,1,460,3,VELVET LASS,,,,,,0,2,0.0,83,5.0,,0.0,
Warragul,1,460,6,JUST IMAGINE,,,,,,0,2,0.0,23,3.3,,0.0,
Warragul,2,460,4,REGAL KADE,,,,,,1,1,100.0,W,2.26,,1.0,
