RaceDate,GreyhoundName,TrackName,TrackTier,StartingPrice,WeightedScore,PaceScore,FormScore,RawPaceAvg,FormRateScaled,ActualWinner,Profit
2025-10-30,SHARAPOVA STAR,Sandown Park,metro,2.4,0.984165072856098,0.03452153265156865,3.2,0.5429216329966228,320.0,0,-1.0
2025-11-06,STARLIGHT RIOT,Angle Park,metro,3.6,0.819369007870917,-0.20090141732726138,3.2,-3.1217613030016227,320.0,1,2.6
2025-11-06,TARAWI THERESE,Sandown Park,metro,2.2,1.0373640414749854,0.11052005924997915,3.2,1.7259435244955115,320.0,0,-1.0
2025-11-08,GOLD FORCE,Wentworth Park,metro,1.7,0.8453736789458466,0.1791052556369238,2.4,2.793566706024442,240.0,0,-1.0
2025-11-08,SHARAPOVA STAR,The Meadows,metro,4.1,0.984165072856098,0.03452153265156865,3.2,0.5429216329966228,320.0,1,3.0999999999999996
2025-11-08,MEPUNGA TULLY,The Meadows,metro,4.1,0.981097938676043,0.03013991239434723,3.2,0.4747156701110694,320.0,0,-1.0
2025-11-11,BOBCAT CHEVY,Angle Park,metro,2.6,0.802281532416115,-0.22531209654840717,3.2,-3.501747194801484,320.0,1,1.6
2025-11-13,STARLIGHT RIOT,Angle Park,metro,1.85,0.819369007870917,-0.20090141732726138,3.2,-3.1217613030016227,320.0,0,-1.0
2025-11-14,WYONG DALLAS,Sandown Park,metro,3.5,1.07076756435711,0.15823937765301443,3.2,2.4687605348370942,320.0,1,2.5
2025-11-15,MEPUNGA TULLY,The Meadows,metro,2.2,0.981097938676043,0.03013991239434723,3.2,0.4747156701110694,320.0,0,-1.0
2025-11-15,SHARAPOVA STAR,The Meadows,metro,2.5,0.984165072856098,0.03452153265156865,3.2,0.5429216329966228,320.0,1,1.5
2025-11-17,GRAND CHIEF,Angle Park,metro,1.95,0.8297955437686397,0.15685077681234252,2.4,2.447145047450751,240.0,1,0.95
2025-11-17,IT'S MIKADO TIME,Sandown Park,metro,3.4,0.8162215147294543,0.13745930675636328,2.4,2.145290069316893,240.0,0,-1.0
2025-11-20,GRAND CHIEF,Angle Park,metro,3.2,0.8297955437686397,0.15685077681234252,2.4,2.447145047450751,240.0,1,2.2
2025-11-20,STARLIGHT RIOT,Angle Park,metro,1.8,0.819369007870917,-0.20090141732726138,3.2,-3.1217613030016227,320.0,0,-1.0
2025-11-22,SHARAPOVA STAR,Sandown Park,metro,5.0,0.984165072856098,0.03452153265156865,3.2,0.5429216329966228,320.0,0,-1.0
