LAY_thresh,LAY_bets,LAY_pnl,LAY_SR,LAY_ROI
0.6,8052,755.5699999999999,0.8498509687034277,9.383631395926477
0.65,2253,302.78999999999996,0.8592987128273413,13.439414114513978
0.7,348,138.37,0.8879310344827587,39.76149425287356
0.75,5,5.0,1.0,100.0
0.8,0,0.0,,
