PriceCap,LayTh,Bets,PnL,SR,ROI
15.0,0.6,8052,755.5699999999999,0.8498509687034277,9.383631395926477
15.0,0.65,2253,302.78999999999996,0.8592987128273413,13.439414114513978
15.0,0.7,348,138.37,0.8879310344827587,39.76149425287356
15.0,0.75,5,5.0,1.0,100.0
15.0,0.8,0,0.0,,
30.0,0.6,11868,1490.57,0.8852376137512639,12.559571958206941
30.0,0.65,3632,803.79,0.9008810572687225,22.130781938325992
30.0,0.7,583,230.37,0.9210977701543739,39.51457975986278
30.0,0.75,21,21.0,1.0,100.0
30.0,0.8,0,0.0,,
